-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,258,259,259,259,259,259,259,259,259,260,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,308,604,-1,-1,-1,-1,-1,-1,605,310,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,308,-1,-1,-1,-1,-1,-1,602,-1,310,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,308,-1,602,-1,303,-1,700,-1,0,310,-1,-1,-1,-1,-1
-1,-1,0,0,0,308,650,0,0,0,602,0,0,600,310,0,1,1,1,1
-1,-1,0,0,0,358,359,359,705,0,0,705,359,359,360,-1,1,1,1,1
-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1
-1,-1,-1,-1,450,451,450,451,450,451,450,451,450,451,450,451,1,1,1,1
-1,-1,-1,-1,500,501,500,501,500,501,500,501,500,501,500,501,1,1,1,1
-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,450,451,-1,-1,-1,-1,152,301,302,152,-1,-1,-1,-1,450,451,-1,-1
-1,-1,500,501,-1,736,-1,707,202,351,352,202,657,-1,736,-1,500,501,-1,-1
-1,-1,450,451,-1,-1,103,-1,-1,-1,-1,-1,-1,103,-1,-1,450,451,-1,-1
-1,-1,500,501,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,500,501,-1,-1
-1,-1,450,451,-1,-1,-1,-1,-1,-1,-1,-1,-1,103,-1,-1,450,451,-1,-1
-1,-1,500,501,-1,-1,103,-1,-1,-1,-1,-1,-1,-1,-1,-1,500,501,-1,-1
-1,-1,450,451,-1,-1,-1,-1,-1,-1,-1,103,-1,-1,-1,-1,450,451,-1,-1
-1,-1,500,501,-1,253,-1,103,-1,-1,-1,-1,-1,251,252,-1,500,501,-1,-1
-1,-1,-1,-1,450,451,450,451,450,451,450,451,450,451,450,451,-1,-1,-1,-1
-1,-1,-1,-1,500,501,500,501,500,501,500,501,500,501,500,501,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
